,"200000_201500_(0, 0, 0)","200000_201500_(1, 1, 0)","200000_201500_(2, 1, 2)","200000_201500_(1, 0, 0)","200000_201500_(0, 0, 1)","200000_201500_(2, 0, 1)","200000_201500_(2, 0, 2)","200000_201500_(0, 1, 0)","200000_201500_(0, 0, 2)","200000_201500_(2, 0, 0)","200000_201500_(3, 1, 0)","200100_201600_(0, 0, 0)","200100_201600_(1, 0, 0)","200100_201600_(2, 0, 0)","200100_201600_(0, 1, 0)","200100_201600_(0, 0, 1)","200100_201600_(2, 1, 2)","200100_201600_(2, 0, 2)","200100_201600_(3, 0, 2)","200100_201600_(0, 1, 2)","200100_201600_(3, 0, 1)","200200_201700_(0, 0, 0)","200200_201700_(1, 0, 0)","200200_201700_(2, 0, 0)","200200_201700_(2, 1, 0)","200200_201700_(0, 0, 1)","200200_201700_(2, 0, 2)","200200_201700_(0, 1, 0)","200200_201700_(2, 1, 2)","200200_201700_(1, 1, 0)","200300_201800_(0, 0, 0)","200300_201800_(0, 1, 0)","200300_201800_(0, 0, 1)","200300_201800_(1, 0, 0)","200300_201800_(3, 0, 0)","200300_201800_(2, 0, 2)","200300_201800_(2, 1, 0)","200300_201800_(1, 1, 0)","200300_201800_(2, 0, 0)","200300_201800_(1, 0, 1)","200400_201900_(0, 1, 0)","200400_201900_(0, 0, 0)","200400_201900_(0, 0, 1)","200400_201900_(2, 0, 0)","200400_201900_(2, 0, 2)","200400_201900_(1, 0, 0)","200400_201900_(1, 0, 1)","200400_201900_(3, 0, 0)","200400_201900_(0, 1, 1)","200400_201900_(2, 0, 1)","200400_201900_(3, 0, 1)","200400_201900_(1, 1, 0)","200500_202000_(0, 0, 0)","200500_202000_(0, 0, 1)","200500_202000_(1, 0, 0)","200500_202000_(2, 0, 0)","200500_202000_(1, 0, 2)","200500_202000_(2, 1, 1)","200500_202000_(2, 0, 2)","200500_202000_(0, 1, 0)","200500_202000_(3, 0, 0)","200500_202000_(0, 1, 2)","200500_202000_(1, 1, 1)","200500_202000_(0, 1, 1)","200500_202000_(2, 1, 2)"
columns,"(0, 0, 0)","(1, 1, 0)","(2, 1, 2)","(1, 0, 0)","(0, 0, 1)","(2, 0, 1)","(2, 0, 2)","(0, 1, 0)","(0, 0, 2)","(2, 0, 0)","(3, 1, 0)","(0, 0, 0)","(1, 0, 0)","(2, 0, 0)","(0, 1, 0)","(0, 0, 1)","(2, 1, 2)","(2, 0, 2)","(3, 0, 2)","(0, 1, 2)","(3, 0, 1)","(0, 0, 0)","(1, 0, 0)","(2, 0, 0)","(2, 1, 0)","(0, 0, 1)","(2, 0, 2)","(0, 1, 0)","(2, 1, 2)","(1, 1, 0)","(0, 0, 0)","(0, 1, 0)","(0, 0, 1)","(1, 0, 0)","(3, 0, 0)","(2, 0, 2)","(2, 1, 0)","(1, 1, 0)","(2, 0, 0)","(1, 0, 1)","(0, 1, 0)","(0, 0, 0)","(0, 0, 1)","(2, 0, 0)","(2, 0, 2)","(1, 0, 0)","(1, 0, 1)","(3, 0, 0)","(0, 1, 1)","(2, 0, 1)","(3, 0, 1)","(1, 1, 0)","(0, 0, 0)","(0, 0, 1)","(1, 0, 0)","(2, 0, 0)","(1, 0, 2)","(2, 1, 1)","(2, 0, 2)","(0, 1, 0)","(3, 0, 0)","(0, 1, 2)","(1, 1, 1)","(0, 1, 1)","(2, 1, 2)"
params,,,,,,"(2, 0, 1)",,,,,,,"(1, 0, 0)",,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,"(2, 1, 0)",,,,"(0, 1, 0)",,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,
test_mae,0.26460561148586353,0.25384869237970503,0.3415658525987186,0.27289008243147667,0.281504418863325,0.339679949501288,0.3611424532343038,0.2733557496292986,0.3370830778527829,0.30405004382575074,0.34212162287374914,0.312899742361136,0.32303545746004947,0.3443396264138928,0.35315278999905175,0.34250486428846666,0.30891070206150173,0.3828341479549013,0.3793033446560534,0.3238503014548694,0.36950363255583835,0.30413345105122747,0.3037393444538415,0.3255606109342107,0.29613268682027455,0.32643485100112896,0.3810021052105954,0.3118995362233621,0.3318896670498108,0.3036275139214767,0.30451754211656396,0.38472968979073174,0.32359418361240494,0.30396232704111553,0.35327573965632936,0.36066412106430207,0.33899674994438184,0.34725191694760893,0.33529506908167167,0.33226014898002415,0.3749253267958399,0.27088595042407476,0.32490888448756394,0.3221671438207451,0.38004045654549423,0.3098722565346024,0.33705974500710084,0.32488604187621817,0.3310103004804468,0.3365705354548518,0.34932780003234404,0.3783774609681961,0.24695187348773026,0.28602720512027896,0.2607012286872977,0.2810382176083316,0.3172414012584924,0.2838799059769246,0.33720053858407784,0.3519306385424264,0.2951316343404144,0.28620741346110673,0.2650310661580989,0.2689517645065386,0.31207613374009224
test_mda,0.6764705882352942,0.6911764705882353,0.5588235294117647,0.6470588235294118,0.6544117647058824,0.625,0.5955882352941176,0.6691176470588235,0.5882352941176471,0.6470588235294118,0.6470588235294118,0.49673202614379086,0.48366013071895425,0.5163398692810458,0.5555555555555556,0.5163398692810458,0.5359477124183006,0.48366013071895425,0.5098039215686274,0.5163398692810458,0.5032679738562091,0.611764705882353,0.6,0.5294117647058824,0.6058823529411764,0.5882352941176471,0.5058823529411764,0.6058823529411764,0.5647058823529412,0.5882352941176471,0.6342857142857142,0.64,0.64,0.6628571428571428,0.6342857142857142,0.6114285714285714,0.6514285714285715,0.64,0.64,0.6285714285714286,0.6413043478260869,0.6630434782608695,0.6358695652173914,0.6521739130434783,0.6467391304347826,0.657608695652174,0.6413043478260869,0.6467391304347826,0.6467391304347826,0.625,0.6521739130434783,0.7010869565217391,0.574585635359116,0.5469613259668509,0.56353591160221,0.585635359116022,0.5193370165745856,0.6187845303867403,0.5414364640883977,0.5580110497237569,0.5911602209944752,0.6077348066298343,0.56353591160221,0.585635359116022,0.580110497237569
test_mse,0.2891423513234854,0.35697775775138263,0.4462071955077233,0.31529009558174714,0.3207490979484987,0.40041543629866283,0.47123908813952753,0.3946421180770911,0.41365266561994357,0.347431069383658,0.4476109970079491,0.2666471421591252,0.30344652725803256,0.35030742780882,0.38146391167117444,0.334236527080062,0.2631481464863931,0.4206798583978562,0.3985035728657101,0.27379666056024543,0.38112425863210087,0.3453638554533837,0.3460813422284303,0.35733675560364525,0.3083138542933759,0.380889164756817,0.4585248236715827,0.35435507823089846,0.36949612165483264,0.33671584901654295,0.311833492382281,0.5925156090479531,0.32063942307379073,0.322183794140325,0.43138411280610567,0.4414407822183579,0.45627942056675247,0.46882959795082796,0.3943494887312973,0.33732949805071394,0.42266335386824094,0.21375270854158424,0.3353910162938577,0.3443562826122372,0.41538884295899997,0.31239656954094064,0.3286796121461517,0.3312112720825594,0.3453738246159465,0.33533258833153934,0.34158775247964684,0.4894203047278011,0.13363378980133467,0.2349207099829616,0.16832244729198167,0.255941123163979,0.264144298333422,0.302196519857851,0.32919524018947666,0.35014335888859294,0.2892159916297575,0.2546373522827535,0.18972661895691562,0.2764973539546499,0.3517231970833622
test_pos,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.3897058823529412,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.2342857142857143,0.2342857142857143,0.2342857142857143,0.2342857142857143,0.2342857142857143,0.2342857142857143,0.2342857142857143,0.2342857142857143,0.2342857142857143,0.2342857142857143,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.33695652173913043,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823,0.03314917127071823
time_step,200000_201500,200000_201500,200000_201500,200000_201500,200000_201500,200000_201500,200000_201500,200000_201500,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200100_201600,200100_201600,200100_201600,200100_201600,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200200_201700,200200_201700,200200_201700,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200300_201800,200300_201800,200300_201800,200300_201800,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200400_201900,200400_201900,200400_201900,200400_201900,200400_201900,200400_201900,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000,200500_202000
val_mae,0.2530929847291272,0.2679538924876312,0.28566737185032076,0.25601530421797997,0.27966057631911895,0.2793751245329524,0.3184311334059111,0.2605598908488557,0.29305438422187197,0.2753371608707041,0.31080064846699507,0.2514532442704327,0.25945836984458726,0.2909565655170027,0.2909338537026266,0.27442074700876723,0.31069587678725097,0.34397711730604436,0.3626423758113635,0.29644112674757905,0.33938900471995276,0.2932739195528042,0.3050141891293228,0.31809292695425584,0.30312757699564546,0.3128207212799605,0.3529286493644337,0.3355424559597232,0.3169369303504108,0.33726522934385095,0.3037035871770958,0.32715145087173814,0.3353202321735711,0.308728012923051,0.3338446115999564,0.3917348859980932,0.30142784448822557,0.31734629631735595,0.33235644143823556,0.34092331069113707,0.3760312062864983,0.289611227057484,0.31812009394526625,0.33299686275627793,0.36780901218048717,0.3050911654371499,0.3290478236232831,0.34433486635721133,0.34346629242637455,0.34959681290826716,0.35696198452823086,0.3570213398145377,0.2664161964444474,0.3088340373124555,0.2873181715448753,0.2969599524241485,0.32907587801165783,0.3216115447636328,0.34806856209590525,0.3583410673079493,0.305725329587705,0.34826967723753083,0.3035639274463159,0.3074268006044233,0.33214177618508
val_mda,0.7058823529411765,0.6764705882352942,0.6691176470588235,0.6764705882352942,0.6838235294117647,0.6617647058823529,0.6029411764705882,0.6470588235294118,0.6323529411764706,0.6764705882352942,0.6617647058823529,0.6797385620915033,0.673202614379085,0.6339869281045751,0.6601307189542484,0.6405228758169934,0.6405228758169934,0.5882352941176471,0.6339869281045751,0.6274509803921569,0.5947712418300654,0.5058823529411764,0.5,0.5529411764705883,0.5529411764705883,0.5117647058823529,0.5235294117647059,0.5647058823529412,0.5,0.5352941176470588,0.6171428571428571,0.5942857142857143,0.5771428571428572,0.6057142857142858,0.5314285714285715,0.5371428571428571,0.5885714285714285,0.5828571428571429,0.5314285714285715,0.5885714285714285,0.6304347826086957,0.6413043478260869,0.625,0.6086956521739131,0.592391304347826,0.6358695652173914,0.6141304347826086,0.5978260869565217,0.6304347826086957,0.6086956521739131,0.6086956521739131,0.6195652173913043,0.6850828729281768,0.6685082872928176,0.6795580110497238,0.6906077348066298,0.6464088397790055,0.6906077348066298,0.6298342541436464,0.6408839779005525,0.6685082872928176,0.6629834254143646,0.6795580110497238,0.6353591160220995,0.6408839779005525
val_mse,0.2446718116482195,0.3395423633490086,0.2878999496779938,0.28730297352548106,0.28905118297956056,0.25472308676999855,0.2999147641516148,0.2790624643213295,0.3197893495751354,0.27380911792968,0.33827466143174545,0.26530702524521144,0.2848072570275179,0.32239794337172767,0.3988481623708479,0.30121286858034113,0.3460994645793137,0.40685298093429534,0.47949565274800837,0.3738171610211997,0.38924313827528423,0.23339126799733517,0.27048349179718495,0.2970715142767135,0.2689956201185057,0.2707282045272196,0.35713960157736374,0.325918688708696,0.3002928238893427,0.34945952123158774,0.3431227831017079,0.4058241663310878,0.38212475245555927,0.34531929915337584,0.35942078169473457,0.4604349992344556,0.3247390443585399,0.36766093423058055,0.3619699792972502,0.412580839361224,0.5724306606308238,0.2860535227069225,0.30699607799649536,0.3903961862012331,0.4351207733881208,0.3180563710686563,0.3374177696336437,0.4215594246946215,0.4558376061038108,0.41046228777741056,0.4243373986112271,0.4890598028866839,0.21062453530488454,0.31569367125118963,0.29121821933751313,0.30384180037927133,0.3516822463691492,0.3888091802337445,0.37702235968234354,0.43840646357014634,0.3196878046791177,0.428990455337465,0.3286454245543113,0.3452210132335808,0.37031469666006983
val_pos,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.40522875816993464,0.40522875816993464,0.40522875816993464,0.40522875816993464,0.40522875816993464,0.40522875816993464,0.40522875816993464,0.40522875816993464,0.40522875816993464,0.40522875816993464,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.2717391304347826,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446,0.35359116022099446
